0,1,2,3,4,5,6
Ekmek,Kola,Yumurta,Kiyma,Peynir,Kalem,Bebek Bezi
Ekmek,Peynir,Kiyma,Bebek Bezi,Kola,Sut,Kalem
Peynir,Kiyma,Yumurta,Sut,Kola,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kiyma,Kalem,Kola,,,,
Yumurta,Ekmek,Kola,Kalem,Sut,Bebek Bezi,Makarna
Kola,Kalem,Yumurta,Peynir,,,
Makarna,Ekmek,Sut,Kalem,Bebek Bezi,,
Ekmek,Bebek Bezi,Peynir,Sut,Kola,Yumurta,
Makarna,Kola,Bebek Bezi,Kiyma,Kalem,Yumurta,Peynir
Peynir,Kiyma,Yumurta,Sut,Kola,,
Makarna,Yumurta,Kiyma,Ekmek,Bebek Bezi,Kola,Sut
Ekmek,Bebek Bezi,Kalem,Makarna,Kiyma,,
Makarna,Peynir,Sut,Kiyma,,,
Ekmek,,,,,,
Kalem,Bebek Bezi,Makarna,,,,
Kiyma,Makarna,Ekmek,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,,,,,,
Makarna,Peynir,Kiyma,Ekmek,Bebek Bezi,Yumurta,
Kiyma,Kalem,Peynir,Ekmek,,,
Peynir,Yumurta,Kola,Ekmek,Sut,Kalem,Kiyma
Yumurta,Makarna,Peynir,Kiyma,Bebek Bezi,,
Bebek Bezi,Kola,Yumurta,Kalem,Kiyma,,
Bebek Bezi,Kiyma,Sut,Ekmek,Makarna,Peynir,
Kalem,,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Bebek Bezi,Kiyma,Ekmek,Kalem,Kola,Peynir,Sut
Ekmek,Makarna,,,,,
Kiyma,Ekmek,Yumurta,Peynir,Sut,Bebek Bezi,
Bebek Bezi,Kiyma,,,,,
Peynir,Makarna,Ekmek,Bebek Bezi,Kola,,
Peynir,Sut,Ekmek,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,Ekmek,Kola,Kiyma,Makarna,,
Ekmek,Peynir,Sut,Kola,Bebek Bezi,,
Ekmek,Makarna,Sut,,,,
Ekmek,Makarna,Sut,,,,
Yumurta,,,,,,
Ekmek,Makarna,Sut,,,,
Ekmek,Makarna,Sut,,,,
Kiyma,,,,,,
Yumurta,Kola,Sut,Peynir,Kalem,Makarna,Ekmek
Makarna,Yumurta,,,,,
Bebek Bezi,Kola,Kiyma,,,,
Bebek Bezi,Ekmek,Makarna,Yumurta,Kola,Sut,Peynir
Peynir,Kiyma,Yumurta,Sut,,,
Yumurta,Kola,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kola,Sut,,,,,
Bebek Bezi,,,,,,
Kola,Ekmek,Makarna,Bebek Bezi,Sut,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Bebek Bezi,Kiyma,Kola,Ekmek,,
Kola,Sut,Bebek Bezi,Kalem,Peynir,Yumurta,
Peynir,Yumurta,Kiyma,Bebek Bezi,Kola,Sut,Ekmek
Bebek Bezi,Yumurta,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kola,Peynir,Makarna,Kalem,Ekmek,Kiyma,Bebek Bezi
Sut,Kalem,Peynir,Makarna,,,
Kiyma,Peynir,Bebek Bezi,Kola,,,
Ekmek,Makarna,Sut,,,,
Ekmek,Kiyma,Kalem,Sut,Kola,Bebek Bezi,
Kalem,Peynir,Bebek Bezi,Kola,Yumurta,,
Ekmek,Bebek Bezi,Sut,Kalem,Peynir,Yumurta,
Kalem,Sut,Peynir,,,,
Yumurta,Makarna,Ekmek,,,,
Bebek Bezi,Ekmek,Peynir,Makarna,Kiyma,Kalem,
Ekmek,Makarna,Sut,Bebek Bezi,,,
Yumurta,Ekmek,,,,,
Kalem,Sut,Bebek Bezi,Yumurta,,,
Kalem,Sut,Kiyma,Peynir,,,
Makarna,Ekmek,Bebek Bezi,Peynir,Kiyma,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Kiyma,Yumurta,Sut,,,
Ekmek,Kola,Yumurta,Makarna,Peynir,Kalem,Bebek Bezi
Bebek Bezi,,,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Sut,,,,,,
Ekmek,Kalem,,,,,
Kola,Sut,Peynir,,,,
Peynir,Makarna,,,,,
Kalem,Bebek Bezi,Kola,,,,
Yumurta,Kiyma,Peynir,,,,
Kiyma,Makarna,Kalem,,,,
Kiyma,Yumurta,Makarna,Peynir,Kola,,
Ekmek,Peynir,Kola,Makarna,Sut,Kiyma,
Kiyma,Peynir,Kalem,Kola,Ekmek,,
Sut,Peynir,Kola,Makarna,Kiyma,Kalem,Ekmek
Kalem,Peynir,Kola,Sut,Bebek Bezi,Makarna,
Ekmek,Makarna,Sut,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Bebek Bezi,Kalem,Makarna,Kola,Kiyma,Yumurta
Yumurta,Kiyma,Kola,Makarna,Sut,Peynir,Bebek Bezi
Kiyma,,,,,,
Ekmek,Makarna,Sut,,,,
Kalem,,,,,,
Kola,Bebek Bezi,Ekmek,Peynir,,,
Makarna,Kalem,Kola,Kiyma,,,
Kola,Ekmek,,,,,
Ekmek,Sut,Yumurta,Peynir,Kola,Kalem,
Peynir,Sut,Kiyma,Yumurta,Makarna,,
Peynir,Kiyma,Yumurta,Sut,,,
Bebek Bezi,Kola,Kiyma,Yumurta,,,
Kiyma,Bebek Bezi,,,,,
Kalem,Kola,Ekmek,Sut,,,
Makarna,Ekmek,Yumurta,Sut,Kalem,Kiyma,Kola
Sut,Peynir,Kola,Kiyma,Makarna,Bebek Bezi,Ekmek
Makarna,Bebek Bezi,Sut,Peynir,Kola,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,,,,,,
Makarna,Kalem,Ekmek,Peynir,Yumurta,,
Ekmek,Yumurta,Peynir,,,,
Kiyma,Sut,Kalem,,,,
Ekmek,Peynir,Yumurta,Kiyma,Kalem,Bebek Bezi,Kola
Kiyma,Peynir,,,,,
Yumurta,Kola,Makarna,Ekmek,Kiyma,,
Makarna,Peynir,,,,,
Makarna,Kalem,Bebek Bezi,Kola,Kiyma,,
Sut,Kalem,,,,,
Kalem,Kola,Makarna,Yumurta,Bebek Bezi,,
Ekmek,Kiyma,Sut,Peynir,Kola,Yumurta,Kalem
Ekmek,Makarna,Sut,,,,
Kalem,Ekmek,,,,,
Yumurta,Sut,Makarna,Kola,,,
Peynir,Kalem,Kiyma,Yumurta,Sut,Makarna,Kola
Peynir,Sut,,,,,
Bebek Bezi,Kalem,Sut,Ekmek,,,
Ekmek,Makarna,Sut,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,,,,,,
Kiyma,Ekmek,Kola,Bebek Bezi,Makarna,,
Makarna,,,,,,
Kola,Bebek Bezi,,,,,
Kiyma,Bebek Bezi,Yumurta,Peynir,Makarna,,
Ekmek,Kalem,Makarna,Yumurta,,,
Sut,Yumurta,Kiyma,Peynir,Ekmek,Kola,Kalem
Kalem,Yumurta,Kiyma,,,,
Kalem,Makarna,,,,,
Ekmek,Makarna,Kiyma,Peynir,Yumurta,Kalem,
Sut,Yumurta,Ekmek,Peynir,,,
Sut,,,,,,
Kalem,Kiyma,Ekmek,Makarna,Peynir,,
Kola,Yumurta,Ekmek,Bebek Bezi,,,
Kiyma,Peynir,Yumurta,Makarna,Kola,Ekmek,
Kiyma,Peynir,Ekmek,Sut,,,
Peynir,Sut,Kalem,Yumurta,Ekmek,Kiyma,
Ekmek,,,,,,
Ekmek,Yumurta,Makarna,Bebek Bezi,Sut,Kiyma,Kalem
Sut,Bebek Bezi,,,,,
Peynir,Yumurta,Kiyma,Kola,Makarna,Bebek Bezi,Ekmek
Bebek Bezi,Makarna,Ekmek,Kalem,Peynir,Sut,
Bebek Bezi,,,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Kola,Kiyma,Makarna,,,
Peynir,Bebek Bezi,Yumurta,Sut,,,
Kola,Peynir,Kiyma,Kalem,Yumurta,,
Yumurta,Makarna,Kalem,Kola,Peynir,,
Makarna,Bebek Bezi,,,,,
Kiyma,,,,,,
Ekmek,Yumurta,Kola,,,,
Ekmek,Sut,Kalem,Kola,Yumurta,Makarna,
Sut,Ekmek,Makarna,,,,
Makarna,Yumurta,,,,,
Kola,Peynir,Sut,Kiyma,Ekmek,Yumurta,
Kiyma,Kola,,,,,
Kola,Ekmek,,,,,
Kiyma,Yumurta,,,,,
Makarna,Sut,Kola,Kalem,Peynir,,
Peynir,Kiyma,Yumurta,Sut,,,
Ekmek,Bebek Bezi,Kalem,Makarna,Peynir,,
Ekmek,Kalem,Bebek Bezi,Peynir,,,
Peynir,Kiyma,Yumurta,Sut,,,
Yumurta,Makarna,Kiyma,Bebek Bezi,Kalem,Sut,Ekmek
Ekmek,Makarna,Sut,,,,
Bebek Bezi,Kiyma,Kola,Kalem,Ekmek,,
Yumurta,Peynir,,,,,
Peynir,Kalem,Kola,,,,
Yumurta,,,,,,
Kalem,Sut,Yumurta,,,,
Makarna,Peynir,Yumurta,Sut,Kiyma,Kalem,Ekmek
Makarna,Bebek Bezi,Kalem,Sut,Kiyma,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Ekmek,Kola,,,,
Ekmek,Peynir,Sut,Bebek Bezi,Kalem,,
Sut,Kalem,Makarna,Kola,Yumurta,Kiyma,
Kola,Sut,Yumurta,Ekmek,Kiyma,,
Ekmek,,,,,,
Ekmek,Bebek Bezi,Kalem,Kiyma,Kola,,
Peynir,Kalem,,,,,
Ekmek,Bebek Bezi,,,,,
Makarna,Bebek Bezi,Kola,Ekmek,,,
Kola,Ekmek,Bebek Bezi,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,Makarna,,,,,
Ekmek,Kiyma,Kalem,Yumurta,Peynir,Sut,Kola
Ekmek,Kola,Bebek Bezi,Yumurta,Kalem,,
Ekmek,Kola,Bebek Bezi,Yumurta,Kalem,,
Ekmek,Kola,Bebek Bezi,,,,
Ekmek,Kola,Bebek Bezi,Yumurta,,,
Ekmek,Kola,Bebek Bezi,Yumurta,Kalem,Sut,
Kola,Kalem,Yumurta,Peynir,,,
Makarna,Ekmek,Sut,Kalem,Bebek Bezi,,
Ekmek,Bebek Bezi,Peynir,Sut,Kola,Yumurta,
Makarna,Kola,Bebek Bezi,Kiyma,Kalem,Yumurta,Peynir
Peynir,Kiyma,Yumurta,Sut,Kola,,
Makarna,Yumurta,Kiyma,Ekmek,Bebek Bezi,Kola,Sut
Ekmek,Bebek Bezi,Kalem,Makarna,Kiyma,,
Makarna,Peynir,Sut,Kiyma,,,
Ekmek,,,,,,
Kalem,Bebek Bezi,Makarna,,,,
Kiyma,Makarna,Ekmek,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,,,,,,
Makarna,Peynir,Kiyma,Ekmek,Bebek Bezi,Yumurta,
Kiyma,Kalem,Peynir,Ekmek,,,
Peynir,Yumurta,Kola,Ekmek,Sut,Kalem,Kiyma
Yumurta,Makarna,Peynir,Kiyma,Bebek Bezi,,
Bebek Bezi,Kola,Yumurta,Kalem,Kiyma,,
Bebek Bezi,Kiyma,Sut,Ekmek,Makarna,Peynir,
Kalem,,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Bebek Bezi,Kiyma,Ekmek,Kalem,Kola,Peynir,Sut
Ekmek,Makarna,,,,,
Kiyma,Ekmek,Yumurta,Peynir,Sut,Bebek Bezi,
Bebek Bezi,Kiyma,,,,,
Peynir,Makarna,Ekmek,Bebek Bezi,Kola,,
Peynir,Sut,Ekmek,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,Ekmek,Kola,Kiyma,Makarna,,
Ekmek,Peynir,Sut,Kola,Bebek Bezi,,
Ekmek,Makarna,Sut,,,,
Ekmek,Makarna,Sut,,,,
Yumurta,,,,,,
Ekmek,Makarna,Sut,,,,
Ekmek,Makarna,Sut,,,,
Kiyma,,,,,,
Yumurta,Kola,Sut,Peynir,Kalem,Makarna,Ekmek
Makarna,Yumurta,,,,,
Bebek Bezi,Kola,Kiyma,,,,
Bebek Bezi,Ekmek,Makarna,Yumurta,Kola,Sut,Peynir
Peynir,Kiyma,Yumurta,Sut,,,
Yumurta,Kola,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kola,Sut,,,,,
Bebek Bezi,,,,,,
Kola,Ekmek,Makarna,Bebek Bezi,Sut,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Bebek Bezi,Kiyma,Kola,Ekmek,,
Kola,Sut,Bebek Bezi,Kalem,Peynir,Yumurta,
Peynir,Yumurta,Kiyma,Bebek Bezi,Kola,Sut,Ekmek
Bebek Bezi,Yumurta,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kola,Peynir,Makarna,Kalem,Ekmek,Kiyma,Bebek Bezi
Sut,Kalem,Peynir,Makarna,,,
Kiyma,Peynir,Bebek Bezi,Kola,,,
Ekmek,Makarna,Sut,,,,
Ekmek,Kiyma,Kalem,Sut,Kola,Bebek Bezi,
Kalem,Peynir,Bebek Bezi,Kola,Yumurta,,
Ekmek,Bebek Bezi,Sut,Kalem,Peynir,Yumurta,
Kalem,Sut,Peynir,,,,
Yumurta,Makarna,Ekmek,,,,
Bebek Bezi,Ekmek,Peynir,Makarna,Kiyma,Kalem,
Ekmek,Makarna,Sut,Bebek Bezi,,,
Yumurta,Ekmek,,,,,
Kalem,Sut,Bebek Bezi,Yumurta,,,
Kalem,Sut,Kiyma,Peynir,,,
Makarna,Ekmek,Bebek Bezi,Peynir,Kiyma,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Kiyma,Yumurta,Sut,,,
Ekmek,Kola,Yumurta,Makarna,Peynir,Kalem,Bebek Bezi
Bebek Bezi,,,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Sut,,,,,,
Ekmek,Kalem,,,,,
Kola,Sut,Peynir,,,,
Peynir,Makarna,,,,,
Kalem,Bebek Bezi,Kola,,,,
Yumurta,Kiyma,Peynir,,,,
Kiyma,Makarna,Kalem,,,,
Kiyma,Yumurta,Makarna,Peynir,Kola,,
Ekmek,Peynir,Kola,Makarna,Sut,Kiyma,
Kiyma,Peynir,Kalem,Kola,Ekmek,,
Sut,Peynir,Kola,Makarna,Kiyma,Kalem,Ekmek
Kalem,Peynir,Kola,Sut,Bebek Bezi,Makarna,
Ekmek,Makarna,Sut,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Bebek Bezi,Kalem,Makarna,Kola,Kiyma,Yumurta
Yumurta,Kiyma,Kola,Makarna,Sut,Peynir,Bebek Bezi
Kiyma,,,,,,
Ekmek,Makarna,Sut,,,,
Kalem,,,,,,
Kola,Bebek Bezi,Ekmek,Peynir,,,
Makarna,Kalem,Kola,Kiyma,,,
Kola,Ekmek,,,,,
Ekmek,Sut,Yumurta,Peynir,Kola,Kalem,
Peynir,Sut,Kiyma,Yumurta,Makarna,,
Peynir,Kiyma,Yumurta,Sut,,,
Bebek Bezi,Kola,Kiyma,Yumurta,,,
Kiyma,Bebek Bezi,,,,,
Kalem,Kola,Ekmek,Sut,,,
Makarna,Ekmek,Yumurta,Sut,Kalem,Kiyma,Kola
Sut,Peynir,Kola,Kiyma,Makarna,Bebek Bezi,Ekmek
Makarna,Bebek Bezi,Sut,Peynir,Kola,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,,,,,,
Makarna,Kalem,Ekmek,Peynir,Yumurta,,
Ekmek,Yumurta,Peynir,,,,
Kiyma,Sut,Kalem,,,,
Ekmek,Peynir,Yumurta,Kiyma,Kalem,Bebek Bezi,Kola
Kiyma,Peynir,,,,,
Yumurta,Kola,Makarna,Ekmek,Kiyma,,
